COD_COMUNA,HOMBRES,MUJERES,TOTAL
13101,206.678,197.817,404.495
13102,39.631,41.201,80.832
13103,65.438,67.184,132.622
13104,61.877,65.078,126.955
13105,79.372,83.133,162.505
13106,73.458,73.583,147.041
13107,48.122,50.549,98.671
13108,49.186,51.095,100.281
13109,43.147,46.972,90.119
13110,175.693,191.223,366.916
13111,57.025,59.546,116.571
13112,87.044,90.291,177.335
13113,43.599,49.188,92.787
13114,135.917,158.921,294.838
13115,50.5,55.333,105.833
13116,49.146,49.658,98.804
13117,46.799,49.45,96.249
13118,55.161,61.373,116.534
13119,250.792,270.835,521.627
13120,95.409,112.828,208.237
13121,49.513,51.661,101.174
13122,116.882,124.717,241.599
13123,65.71,76.369,142.079
13124,112.412,117.881,230.293
13125,103.456,106.954,210.41
13126,53.669,56.357,110.026
13127,77.709,80.142,157.851
13128,72.681,74.47,147.151
13129,45.831,48.661,94.492
13130,50.738,57.216,107.954
13131,40.873,42.027,82.9
13132,38.402,46.982,85.384
13201,275.147,292.959,568.106
13202,13.429,13.092,26.521
13203,9.861,8.328,18.189
13301,74.635,71.572,146.207
13302,51.545,50.489,102.034
13303,10.047,9.265,19.312
13401,147.8,153.513,301.313
13402,47.575,49.039,96.614
13403,12.718,12.674,25.392
13404,36.521,36.238,72.759
13501,61.41,62.217,123.627
13502,3.516,2.928,6.444
13503,16.222,16.357,32.579
13504,6.83,6.76,13.59
13505,5.132,4.594,9.726
13601,36.769,37.468,74.237
13602,17.793,18.13,35.923
13603,18.051,18.168,36.219
13604,31.452,31.798,63.25
13605,43.944,46.257,90.201
